song_title,artist_name,lyrics
I think my voice will go mule
I was just rappin' 'bout high rule
That was the dual wear fuckin' link live that
I just got these big raps
A tiger is a big cat
But I don't give a big crap
Oh shit, he really get that
I don't go tip for tap
I don't hold the grudge
I just keep on droppin', I'm like Harren Judge
He is on the yankees
And I gotta say this frankly
I really miss baseball
And mix all the troubles melt away
But we don't have it on Saturdays
Or Sundays or Mondays or Wednesdays or Tues'
But we just pay our dues
Keep on rockin', keep on rappin' for our crews
Keep on doin' what we can for our friends
'Cause they're gonna be the ones in the end
To hold our hand when everything else melts away
When it all goes dark
You gotta all go back to the people from the ones that you knew at the start
I got a lot of great beats comin'
Goin' and drummin'
From my folks
Crackin' like some yokes
You know that I hope
We're gonna heat, go and drop in this dope
And I never will mope
Evermore like the battle
Forever more Led Zep
Shout out to my dude Shep
He's a real hep cat
Do you fuckin' get that?
He was the best that I ever knew
The best that I ever saw
I'm just droppin' bust, all type rhymes
'Cause you know I gotta do this like I'm
A circular saw when I'm wearin' my Birkin stocks
Used to be that I'd work a lot
Now we work a lot tryna get our tour set up
Again 'cause you know that we got these friends
That are promoters in conserve and you owners
And even the fuckin' stage hens
That y'all make it happen
They gon' make it go
They on, make the gear spin
We're winning together as one
Did you think that this could happen?
Oh shit, I got some fuckin' shoutouts
That I get to really say
But we don't really play
No, we don't do that today
Okay, ouch, ouch, it's the shoutouts
That I gotta give to the Beatrice Teer
So everybody knows that if you wanna go
Get a shoutout, is this too on the nose?
You gotta go to watskyrelief dot com
Where you can drop those financial bombs
Pay us some owns, pays us some respects
And at the ten dollar level you get what's next
That is for meet up, say your name on the stream
[1:42:40] start
Never flippin' the bird
Never droppin' a turd
Never gettin' so scurred
That my vision is blurred
Just to keep goin
Just to keep hoping
Just to keep ropin
All of these cattle
Doing this battle
Good against evil
Never gonna leave
Never gonna be
A dude named Steve
I'm never gonna change the name
I'm gonna change the game
You think you can stop me but you can't
I'm outta control like an ant
Hour Three (2:00:00-2:59:59)
I wonder, I've got this doubt
To my girlfriend I'll shout
Amber, do you think I'm saying ""fuck"" too much on the stream? I'm saying ""fuckin'"" a lot
Did that make 'em scream?
That's cool, say it fuckin' more
Oh curl, oh curl, like Cardi B
I put glow hardly into this dark night, man, I'm saying
Fucking, fucking, fucking, fucking, man, I'm sprayin'
Man, over this concrete
On this fucking dope beat
Oh shit, this is ham
Pin me in, this is the one I begin
To flow easily
This flow is so easy, see
No Eazy-E
You are all pleasing me
It's no
[2:13:08] start
Is the place that I rap
My throat sounds like I got strap
I got a limp in my step
But I don't ever dip
And I don't wear a slip
I gotta keep it up at the same clip
I woke up with a headache
But I still felt pretty relaxed
I knew in a couple hours
[2:16:00] start
Because he was pouring sweat
A whole bunch of pictures
People thought he looked really bad
Looked really sweaty
They didn't elect him
Because he had
A real bad demeanor
And betweener
All of us
That's just politucs
What do we got next?
What's a history lesson in which the people can be blessed?
Looks like a big battleship
I'm not rattled if
That's what you think
I hope you don't blink
I don't know what this is all about
A hairdresser, man, I'm callin' out
And we're the confessor
All upon my dresser
I will not pester you
And I will not tester
There's some boobies in this pic
That's cool, free the nipple, man, that's real slick
Honestly, the male nipple and the female nipple
I don't really get the difference, man, is it that simple?
Why is one obscene?
Why is one unclean?
I guess that's just what we could talk to think
That stinks
This is a dude clean, fucking clear net
I wonder who is it yet
He's in Paris
That's very romantic
They're across the Atlantic
Oh shit, this is the grassy knoll
That's the picture that I hold
That's the day JFK got popped
In its open top car he was shot
When he rolled up in Dallas
And a shooter on the hill has such malice
And he shot him and he died
That was really sad, I know my mom cried
She was in shock 'cause a little child
Man, for the whole nation that must've been wild
And there's RFK
No wait, that's wrong
You know I don't play, that's his son
RFK is here
Kennedy's son is here, man, saluting near to his father
This is the Pope
I think that's right
Gettin' harder, it's dope
Oh that's wrong, it's Irish play ride John OKC
Get all these facts right, man, you can't make me
Being wrong, that's my emo
On this mic I just spit more emo
Will I stop? I just say heck no
Yeah, here is the Pope
I guess that's just the coincidence he was on the next page, that's dope
I'm not at the end of my rope
At my rope I'm at the beginning
On the path to winning
Here's the cover about Uranus
Here's a dude swinging his kids
Around with his arms
I think that's good parenting
I think you gotta let kids do their own harm
And make their own mistakes
Man, you can't treat them a kid, glubs
That would not be great
Not at my best
But that's cool off my chest
Off my mind, can't expect to be perfect
Who just gotta keep it
Moon event, you gotta have, make it
Go, you gotta take it so slow
If you're gonna cross the finish line
If you're gonna get in time
Oh shit, it's the Fab 4
Yeah, The Beatles, that's more incredible
Than you could believe
Look at John Lennon with his crazy fuckin' sleeves
His military shirt, is that Audrey Hepburn?
I think that is, man, I'm no half stepper
What I think that was, the jacket from that campaign
You can't tell me that that's lame
So iconic
Wow, it's demonic
Harry Belafonte? That's incredible
Man, practically edible
Damn, I don't know
Woodstock, should be Hetrix
Who knows? You could blow
Wow, there's a lot of top list stuff in this book
I think that's great, man, that's not rough, look
I would show you if I wouldn't get flagged by YouTube
I'm on my sauce like shoyu, so sauce and you know that
This looks like million
A heart, I could heal one
[2:46:04] start
I have just begun
And I have not yet won
I have not yet stopped
I have not yet ceased
And I am not creased
I am not diseased
I am not leavin'
I have no bee sting on my head
I am just beasting until I'm dead
I make them see red
I have not been bled
Thank you [to person off screen]
Of all my hope
You know I just go and vote with my mind
I also vote absentee
Yeah, actually
I'm still a voter in the San Francisco 415
Prolly will be 'til the day I die
'Cause my mom is up on local politics
You know I gotta want it
You know I gotta put it straight
I got this bee in my bonnet
Me? I am not going to just stop
And drop
And stop-drop-and-roll
That’s what they teach you to do
When you’re on fire to hold
I’m on fire, I’m old
I break the fuckin’ mold
I only spit gold
I only spit cold
Again, I have not been Rick Rolled
Let’s see what the scrabble dictionary got
I hope it’s got some words that’re hot
To put up in my pot
So I can stir them 'til I'm not
Dead
This word is Amboli
I don't know what that means, but it rhymes with holy
No power
For this word that says embower
A lot of these words
I won't know
Because I'm not that smart man, yo
This next word is jackal
I have got such sack, I'll
Keep on goin'
The next word is jacket
They wonder, can I hack it?
They wonder, can I do it?
Will the flow stay under so fluid?
This next word is jade
I do not get paid from this stream
I just got to scream
I just got to seem
Like I'm not a jaguar
I'm not quite a rap star
But I'm famous in my own mind
I am feelin' so fine
The next word is Jakes
I've got what it takes
The next word is jaundice
I didn't know that was on list
The next word is Job Owner
Uh, okay homer
Um, okay boomer
I think I am doomed, or
Something like that
But my rap has to keep goin'
It cannot stop for a moment
The next word is jeep
All these fuckin' words, man
I toss 'em in a heap
I'm not allowed to sleep
I would not make a peep
If the sandman came and sprinkled sand dust
In my eye
I would be like
""What the fuck, guy?""
Why'd you sprinkle sleep dust in my eye
That is going to make me stay awake
Man, I try
To go to sleep but this
Goddamn jackass sprinkling sleep dust in my face, man
That is really messed up
It’s the whackest
That does not make me feel jolly
I like Buddy Holly
From Weezer AND the dude
I hope that's not rude
I hope you been brewed
Houston, where they're chopped and screwed
Houston, do we have a problem?
Am I on one?
Man, I'm not gonna go 'til I drop
The next word is judicare and judicial and judo
Shout out to my dude Budo
From Seattle
Kickin' this battle
I will not have a death rattle
The next word is jungly
My own ambitions punish me
Next word is junkey
Some days I feel spunky
Some days a feel funky
I'm just a weird monkey
The next word is jubon
Did you buy this book with a coupon?
Did you get your gray poupon?
I'm not somethin' to poop on
So if a pigeon flies up to me outside
I be like ""Man, your wings are how wide?""
And be like ""Aw, not as wide as a condor.""
But if you like me, you can take a gander
Out in gondor with the rings
Where they have the legend and the three kings
Man, I'm still beasting
The next word is kaiser
I am releasing all of my tension
I cannot mention
The next word is Kame
And Kamela, and Kain
The next word is Kanji
Did y'all see Jumanji?
I only saw the first one
I don't know if the next one was the worst one
The next word is Kappa
Y'all remember PaRappa the Rapper?
Dude was cool, he had a beanie kinda like mine
And he had some tight rhymes
Was he a dog or a rat?
I don't remember what animal that dude had
In his genome
Y'all wanna see me home
I just keep goin' and goin' and goin'
Don't quit it
I just hit it this rhythm
And tried to get wid, umm
I cannot sit, umm
Never gonna stand up
Man, I put my hand up
The next word in here is kept
To my feet I haven't leapt
But I am not stressed
The next word is keypad
Y'all can't see me mad
Y'all can't see me bad
Next word is key
This what I'm spittin' it's
[2:52:26] end
[2:58:00] start
Bring the sword out of my shealth
Now we got leaker
It's coming right out of the speakers
Shout out to the L.A. Leakers
Having some dope rhyme spitters on the mic, good speakers
This is lettin'
And you know I'm not steppin'
This is [layerage?]
I get up in the fridge 'cause I'm cold
The next word is least
I gotta rise like heased
I gotta rise, I'm a beast
Now the beast is released
The next word is leghold
I gotta stay bold
Bring a mile up the cold
I will never scold you
I just wanna make you feel good
Like Dr. Feel Good, I hear you
I will not steal you away
But what you wanna do? Hey
The next word legendary
Oh yes, yes, it's me
The next word is lentisk
I have not been this
Out of shape, do you relate?
Can you penetrate what I have got
Hour Four (3:00:00-3:59:59)
[3:00:55] start
I'm not a scarecrow
I have a rare load
On my back but I don't say so
We bake bread like loaves
You know that we goes
The best the next is live trap
I'm just on the mic, that
Is what I gotta say
I have to play
The game that you make me
But you cannot fake me
The next word is lobeless
Like an earlobe? No, it's
Kinda weird to be lobeless
No stress, man, shout out to Paso Robles
Shout out to Encinitas
Shout out to Lagunitas
Shout out to Alameda
Emeryville and everything between ya
Also L.A
That's where I live right now, man, so hey
This is the city that I call home
I just spit a tall poem
Fuckin' epic poetry
Gotta keep it going
Like Homer, like the Odyssey, Iliad
Hey, man, why you fuckin' really mad?
Do you think I am a silly lad?
Just because I got a lilypad?
That I hop from, like a little froggy
I say wassup to my doggies
I spit a lil rhyme morsel
Until I get hoarse or
Not, I gotta give you what I got
I'm comin' for all the loot
You know I wanna freakin' scoot
[3:01:42] end
[3:28:52] start
(The below names are repeated in the Hour Eight section alphabetically, if you're unsure of spelling check there)
(transcribed by AI, pretty darn good but feel free to delete)
I want to say Sheila Robertson
You're the best
You're no healer
But Sheila, you got your fucking shield up
I want to see
If I could shout out to be its grave
As I have to shout out Mr. Dr. Dave
No hide, no Jekyll
Shout out to freckles
And no tooshie
Is getting hurt when I shout Taki Yamaguchi
I just keep building
Big ups to Jake Dylan
And yes, yes, happily
I will send more love to Shannon B
It's not awful
When I shout out to Nia Cophos
I'm a believer
Shout out to Riva, shout out Hillel slot machine
That is mean, shout to grow dude
No attitude, shout out to Callum
I've got no callous
Dayum, shout to Mill hand be
You've got me feeling so gramcb
Shout to that Crystal Queen
And everybody who's in between
This next one's Cal Koosh Koosh rank count coup shrank cow crucial shrank. That's dank
I don't know if I said that right
I probably didn't, I probably just had a blight
When I did that, oh well
Shout out to Michelle and Mattias W and healing your he lived my whole damn Soul making me feel so swole. Shout out to Havala Grace
We were in acting school, man, we cannot be replaced
Ever said lawyers who
We are the best, hoo
Do you think you are like the owl goes hoo in the barn?
I am shouting out to Dominic
You know, you got a quick shout out, Katie
You can't make me not shout out Lena and Lars
Because I'm coming on these goddamn bars
Michael James and Melissa, hope you listen
Hope one Camaro doesn't glisten
In the sun and shine, shout out to Han
You are truly the human
Shout out to Patrick Cosilla[?]
I gotta say you are so rilla
Shout out to Ben Appel
Emerson love, oh well, oh well, hell yeah
Shout out to Glenn Crumb
You've got the syndrome of being so fresh
And shout out to Alice
Raising my chalice to you
Hope you're in your palace
Doing what you do
Shout out to Mullen[?]
Shout out to Marissa Cullen[?]
You are too lit
Shout out to Moon Lit
You know that you do it so great
Shout out to Mitchell [?]
Shout out to Obama
And yo mama
You can't tell me
That I shouldn't shout out Ryan and Selby
I got this giddy flow
As I'm shoutin' out Giddy Video
I'm not timid, I gotta tell it
I gotta keep going, man, I'm [?]
Shout out to Tommy Sco
Shout out to the Sco
You know that you probably know
That you're dope, shout out to [?]
I do it so tall
I got this on my playlist
I wanna shout out Corney Davis
I gotta send you dope regards
And you know wealth is health
I'm coming in with the stealth
Like a ninja-smooth
You know you can't move
When I sneak up behind ya
Need I remind ya?
I am a legend in my own mind
I'm feeling so fine
Oh, that's my ego
Oh shit, now he go
Poppin' up, being weird
But you know it appeared
At my point I might not get
Another chance even yet
I'm just grateful to be doing what I love
Doing what I came for
This is what I play for
I just wanna make more room
To be up at noon
To be sleeping by the doom
By the gong of the clock
Shoutout to my dude Bach
Young Johan Sebastian, you know he is passin' go on the monopoly board
I'm never cutting the cord
I came and I scored
No, I am four
The next word is scorpio, I've got the more flow
The next word thematic: I hope you don't give me static
Now we got thesbian: he is the best vegan
And don't stop, don't quit or cease
You know I release
...
Can't believe that's in the scrabble dictionary, yes
The next word Volt
Harry Potter got a damn boat
In the middle of his forehead
But now he who not be named as fuckin' more dead
Than he thought that he would be
That was real trickly
I just got the weakest type of flow
That's a live, man, it is so strong
It is so tough and rough
Man, I am so buff
Already shouted out Scruff, my gruff
But shout out to dogs who fight crime
All over the world
You know that I'm so proud of 'em
All the animals fighting crime
Doing what they gotta
I'm not a pot, nah
I'm not a witness
You're not on a hit list
I will not expel
Like Rapunzel I just rappel
Down from the power out on her hair
Can I get some smoothie, man?
I don't know dude, I'm just tryna save the smoothie for as long as I can
I feel like an elephant, would...
But no shout out to haliburton
No shoutout to the iron curtain
I gotta mention someday I was in detention
But now I gotta rise and hit true ascension
Get uptop, as high as I can go at the pace that I flow ... Like a horse...
I don't boast or brag, that's not true, I'm a goddamn Stag
You could put me out the stud
And I won't be a dud
I won't rap crud
I won't just give you mud
[end: 3:58:34]
I wanna say hello to the clientele donating
Man, you're making me glad
You're making me so happy like
Man, I'm like a dad seeing his son hit a homer
Yes, man, I've run over
Like Red Rover
Hour Five (4:00:00-4:59:59)
I'm not a stofer's meal
You can microwave me
You cannot take me out back and give me forty lashes with a wet noodle
The whole kitten caboodle
Once they're coming, bust my chops
But I tell a man that they better stop
Shout out to the lady
Who did Lambchop, she was fuckin' crazy
Oh shit, newbie, new he
To bring 'em Julie and Lay, man, he get some
Snare
And the real g the inanimate___
They saved them all from dying but I'm not lying
It's like Star Wars
I see all these dudes coming through with their lightsabers
They are not makers of dreams
I see that these are going in reverse order to me
Well, this crazy
Hour Six (5:00:00-5:59:59)
The first Disney Channel movie if you were not lazy
And you were fuckin' alive in 1983
You know Tiger Town would've been on your screen
Next in '84, I say
The movie from Disney was Love Leads the Way
And I don't wanna fight
But in '97 Disney made The Northern Lights
And then oh crap
My friend was in this mummy movie on the raps
1997, heaven
You see me in the 7/11
I wanna tell you, I wanna smell you
I wanna fuckin' call 'em and ask for more volume
On the monitor
That would be really great, that would be the thermometer
[05:29:20] start
You just wanna make me on
I think these names are too hard to pronounce
So I'm gonna put them just out
But I appreciate it
That was a good idea
That's quite clear when I'm rappin' this fear
I gotta look and it near
For one I see, weird
All in this together
I think I'll lean back and then I'll just weather
A bit of this beat like this
As it repeats
Until I have to go piss again
Man, when I piss again
I think I could fill up all of Lake Michigan
Or maybe only Lake Erie
But that'll be when you beer me
I could fill up all the Great Lakes
That would be a great tape
I'll set six fuckin' records in one
That would be some great fun
I think that you make one
And the two and then you just try to drum
On your chest like the drummer boy
I just come 'cause the dumbest Doy
Dude is not the rude
Person who stuck a finger in my eye with the toot
I come to the beat
To the rescue and then I just repeat
I won't miscue
I will miss you
I need no tissue
That's not the issue
If you wanna tell me
What to do you got the ring like the Belford human tolls
I'm tryna come bold
With no [?]
And the bigger the hole
The more that I'm likely to sink it in
I sink it in like the teeth when I'm gettin' the slim
Lead like I am tiger on the green
From the T to the green, man, I'm in
And everywhere in between
I barely hit the fair way
But I can parlay what I need to
'Cause it's not related
When I rack these beats I'm see-through
And my intentions
Did I mention? That were trying to go
For so god... long
That we'll sing a song
That cannot be wrong
I'm here just to rock
But I cannot talk
I cannot stop
Until my jaws locked
Like I've got the mumps
The fuckin' beat bumps
So move your damn rumps
Move your damn
[05:30:25] end
Hour Seven (6:00:00-6:59:59)
6:04
Am I going to hell? I say that will be swell, just keep the contium bc that's what I am doing um. Doing these treats...I rip this mic I still like I am...
Silence is not what I'm going to have like a lamb
...
You cannot burst me like a water balloon I've been so damn thirsty
...
[06:58:48] start
The beat gets fatter
And I just pitter
Patter, keep on going
And keep on rhyming and flowing
I'm in the zone
I'm not knowing
What time zone I am in
I am slim
I am set to begin
I'm wi-nning
Just by showing up at the door
Raisin my fuckin' hand
Asking for fuckin' more
Servings
Of ass-kickings
Yes, sir, I'll have another
I'm masking my fuckin' fear of
Not knowing my brother but that's okay
Everybody gotta go their own way
You gotta do what you can and love who you love
And your choices are your own choices, no-one above
Cool, thank you, okay, great
Thanks for giving this to me
Gotta set it straight
So, this is alphabetical order
This is every name from the beginning
Okay, I’m - not no hoarder -
But, after this, can we maybe start again, new, fresh?
That’s great
Okay, yes, now I’m going to do this
Bless all of you
You are unruly
Shout out to my crew
Now all these names
Shout out to Jeff
Everybody say hi, he is the best
Hour Eight (7:00:00-7:59:59)
Amber’s doing her thing
Showing so much love
I feel so great, man
No bugs
So, okay, on
To these Beatrice prompts
Starting from the beginning
Cause all of you are really winning
I am not rattled
Shouting out to Aqua Pineapples
I’m not going to Yuma
But shout outs to 12 Chickens from Montezuma
And I won’t say fuck it
Shout out to A Cat Named Nugget
And know that is all
Shout out to my dude Admiral
And I gotta get it quick
Shout out to Al (?) Rick
And you know that I’m off
When I shout out Alex Kanauff
Leave him in the dark
Shout out Alex Mark
But I want the peace
So shout out Alex Niece
I’m just getting this
This respect is it
I just take the pill son
Red or blue, shout out Alfredo v Wilson
No malice, shout out to fuckin’ Alice
Almost fuckin’ lost it
Shout out to Alice Faucet
And I mean to
Shout out to Alina
I am the reverend
And I’m gonna say, shout out to Alison Blevens
I flow all day wrong-long
Shout out Alison Ramsey, she says to stay strong
I tore my oblique
Saying that rhyme
Shout out to Alisa Ashelique
Feelin’ like a baller
Mega shout out to Alysa Knawler
Holler!
Tiny dancer
Shout out to Amber
Deep in the camper
Was that you?
Bling bling, I am a king
Shout out to Ang E King
That’s got a nice ring
I gotta thank all of you
And also Augustus fuckin’ Trankle
And also Austin Gamble
Two names in a row that rhymed, wow
I can’t handle, it
My name’s not Harold
But I gotta shout out Avery Fitzgerald
I got to [07:02:26][?], rolla
Shout out to Barba [07:02:28] [?]
Barba ([?], as above)
Now I’m gonna say shout out to the city of Nola
I am not a leaker
Shouts to Beaker
I’m in this rally
Shouts to Bedmo in Cali
Y’all can’t see
Shouts to B, and to Ben
I begin to repel
From these lyrical heights
Shout to Benapel
That dude is really swell
Oh shit, man, this again
Shout out to Benjamin Cole from Michigan
Poppin’ crystal, I am a bit slim
But I wanna give a shout out to Big Jim
And I’m bringing such joy
Gotta shout to Birdy Boy
I play you like an Atari
I am gonna shout out to Bluari
I’m feeling my youth
As I go, shout out to this Bluebooth
Bok choy soft boy
Bowl of fuckin’ soup
You know I’m on one
Bowlder Colorado
I got those
Names in there, and I do care
But shout out to my dude Brad Simpson
What a pimp, son
Shout out to my dude, fuckin' Howie Mandel
And also my dude Braden Lawie
They are alike, can he
Keep going, but will he shout out Branden Hamby?
Yes I did
And I just shout to Brant and Kenzy
And then I keep rappin' in a frenzy
Hittin' the right notes
As I shout, [07:04:04] [?]
I come down from above
I gotta give a big shout to Bria Love
In the kitchen, too many cooks
But as you listen, oh not too many Brian Brooks
I am not an old man (yet)
But I shout out to Brian P Goldman
What a vet
Damn, in a minute I'ma shout out
Briana Buchanan
Got a hundred grand
Says that I will shout out Briana fuckin' Tran
Money like a Visa
Shout out to Brisa
But I'm just on my D
'Cause I wanna shout out Brawn Windy
Woah, shout out to Brother Nature
Is that really Brother Nature?
That's so sick, I'll make sure
You think so?
That'd be pretty cool
Gotta see if it's true, take him to fuckin' school
Well, he could take me to fuckin' school, that's true
Now I'm gonna get back on the shout outs man, I rule-- he rules. [Laughs]
I'm in the game, I'm heavy in the brain
Shout out to Bruce Shane
And you know that I don't stress
But I gotta shout out to BTDDS
On the couch like a blob
Big shout out to Buh-Bob
I'm hitting these beats like a fungo
But I gotta shout out this next person, Bungo!
But I am not failing, ya
Shout out to Caitlin Porter from Australia
I just getting my reps
As I'm shouting out this dude, Caleb Eps
Soft like velum
Damn, I shout out my dude Callum
Tell him, he's so fresh
And Cassidy Cotilla
You are the rila
One A gorilla
When it comes to being a friend of donations
Thank you for your support of the nation
And you know that daddy
I gotta shout out Sidaddy Maddy
Champion, my dog, is the best
This not a slog
I have no fatigue
When I gotta shout out my dude Charles League
But I gotta say hey to Che
And you tell me to shout out to Chelsea
And you put me in a position to shout out Chool Kaputtsky
What's up? And thanks for the patches and dope shit
You're fuckin' really cool, I hope you know it
But I gotta
Come from my medulla oblongata
Shout out to Chris and Ramona Mada
And my biggest simple wish
Is to give a shout out to this dude Chris Fish
And I gotta raise the roof
As I shout out to my dude Chris Floof
That's awesome [Laughs]
You know I say this
As I shout out another Chris, Chris Jones from Vegas
And from the Bay
I shout to Clay
I am no pisher
Shouts to Colin Swisher
I deliver, with my ray gun
Like an alien as I shout out the city of Copenhagen
I say this
Shout out to Courtney Davis
I am tough
Shout out to Cream Puff
You can see me
Shout out to Cyphen CG
I’ve got - I live life con brio
So shout out to D-Man and the trio
I don’t hesitate
To shout out my main fuckin’ man Daiman Kaites
And I gotta shout out to Dana
Shout out to Daniel F, a playa
In my head and respect every day
I don't cease
But also shout out to Daniel Gilease
Oh, no, shouts to David Ho
Too cool, shouts to Dawson Hool
I play this, I shout out to Deana Chavis
I go berserk as I shout to De Burke
I'm deep in the cuts as I shout out Deez Nuts
Shout out to Barlowe, and Devin Harlow
You know I'm mean in the scene
And I shout Devin and Deans
I go through this list, I shout Drew
I admit, I'm a shark, like a Mako
Shouts to Diego
I'm on, yo
Got like a shout out to Dmitri of Toronto
I wonder if they're related to Pat Dmitri
I don't know man, they can't even see me
Probably not
I just smile a bit
As I shout out DJ Nihilist
I got no regard for you
As I shout out Do Regard
Do Regard, man, I am going hard
I will never call it quits
Double shout out to Dominic, fuckin' Dominic
Who he is?
Light a fuckin' doobie, doobie is
He crazy, man, he jizz
Every time he go, he's in love with his flow
He's a slave to the beat, shout out to Dr Dave
Don't relax, shout to Drew Max
Go harder, shout out to drink water
Okay, I will
I'll listen to your skill of persuasion
As I go in I'm saying
I keep on baying
Out 'cause you know I just am relaying
In the brain
I remain
Insane
But I'm sayin'
Shout out to Dylon Maine
And my slim, shout out to Ekin
Shout out to the boss, Elen Ross
As I say with my vox
I gotta say, no stranger
Shout out to Elena
And release
Shout out to Elese
And your hill to die on is my girl Elon Morel
And I get a lift
From the moment that I get to shout Ellie Smith
And you are really healing me
Shout out to Elliot from New Zealand
And pulling my verbal chariot
Shout out to Emily Iscariot
Damn it
Shout out to Emmet
Shout out to epileptics all on the optics
Shout out to Epic
Yup, can't fuckin stop this
I just fuckin' keep going and I fuckin’ rock this
Flow
I smoke on the hemp
Shout to Eron Kemp
Y'all can't believe
When I stare at ya
And shout Eryca Marie
Eryca Marie! Can you see me?
Did I mention, I'm from the bay
When I say shout out to Eustacia K
I hear they're making Dune
My name's George, but shout out to Forge Lord Fewn
Do you remember Gak?
On Nickelodeon, hey, shouts out to Frack
I do what it do with my ute
Everybody shout to Francis Flute
I swing from these verbal vines like Tarzan
Shout out to Frank the tank, fuckin’ Marzan
I’m no Hyde, no Jekyll, shout out to freckles
I am feeling feckless and reckless
I am in a whirlwind
Shout out to all my friends from Berlin
I'm on ya
Like all the people I wanna shout out from Northwest Iowa
Right now I've got a hot hand
On the mic so I'm sending shouts to Scotland
I am fuckin' goin, damn, ham
So I'm shouting out this dude, Frothingham
I am not human, I'm the Terminator
So shout out to Furman
He is just doing the goddamn thing
So I wanna say, do not pull my strings
Like I said, how now brown cow
Gotta send this shout out to Gabbo the clown from downtown
How are you doing
Wanna send a shout out to Gabriel Howard
You ruined my fuckin' chance of not saying your name
But now I did the dance and now I got-gotta play
I'm a little giddy ho
And I wanna shout out to Giddy Video
I'm feeling like a squirrel
Shout out to Gilroy's World
I'm not dumb
Shouts to Glynn Crumb
Hey, Go Devils
Go Red Devils
I am on the level
UHS, that's my high school, I got no stress
I wanna get paid for my friends
Shout out to Gold Grenade
I am not gonna end
Sayin in the studi-o
Gotta shout out my friend fuckin’ Gooby, yo
Are you Gooby? Oh shit, man, that is legendary
Man I gotta kill it, shout to Grant Philips
I'm getting smelly on the mic, shouts to Gregory Kelly
I fuckin' like you
Shout to Grow Dude
I got the know 'tude
Shout out to gurns
And all my hernias I got as I burn
I am the man
Shout out to Han
Damn a
Really big shout out to Hannah
And to get more specific from the boy
Damn I wanna send a shout out to Hannah Joy
And shout out to Judge Judy
And I wanna say, happy birthday Trudy
Happy birthday, I get no flack, son
Wanna send a shout out to Harry Jackson
Shout out to your mother and fadder and your daughter
And also shout out to Harry Potter
Hey, winning this race, my friend Havel of Grace
I do remain, shouting out Hayley Jane C
I gotta shout Heather B
And my dude with the other last name initial Henry P
Oh no, he is gonna go so long on this dope flow
Shout out to Hernando de Soto
And he's getting real clean
Shout out to the Hit lil’ slot machine
But I'm gonna get silly
Shout to Hole Willy
I don't back out, but I shout out
Fuckin' Holly Stackhouse
I get really really cool
Gonna shout out to Hussar, all in the school
I do it pronto
Shout out to Ian Taunto
You are so bonito
And bellow
I want to shout out Imogen Soutos Costello
In the brain
Shout out to Indie Rain
And them my man Ivan
And you know I’m on
I want to shout out to Jay Levon
You cannot cap me
Shout out to my friend Rodriguez Jackie
Shout out to my friend Hayden
And also my son Jayden
And this is a web URL I’m illin’
Shout out to jaykedillon.co
Oh
Go to that URL if you want to, so
Free advertising, ten bucks, shucks
That’s a good deal
Will I heal? I’ll just keep going, that’s real
I’m not lame
Shout out to James Robertson
He’s not my son, does he have one? I don’t know
But shout out to Jane
And if I’m not in ya mind
Shout out to Jay D from Virginia, behind
You, tap tap, did you see me?
Oh no, that’s unseemingly
He goes so fresh man, he flows
He, he, shout out to Jayleen Z
But I gotta leave the past behind
Shout out to Jaycee the mastermind
Shout out to my belly, from eating this pasta
And shout out to Jelly
I carry a rare load
On my back, shout out to Jen Cisneros
I am no decoy
Shout out to Jerod, McDonald Evoy
I am no half-stepper
But shout out to this dude, fuckin’ Jesper
And you know I keep on
Shout out to Jess Schwall
And say yes, y’all, yes yes y’all
And shout to Jess, the best, but also, a mess
Yo, if I was on Facebook, I’d give you a poke
Jessie Gotchall says Stay Strong As An Oak
Everything is A-OK
And it’s A-OK
‘cause I’m feelin’ like I don’t play
‘Cause everybody in this chat is equal
Biggidy big ups to Jiggidy Jay Peoples
I got an inkling
I’m about to send a shout out to Jinking
Shout out to Obama
And also Joe Mama
And also Joe, Michelle, and fuckin’ Beadle [?] [07:16:20] [?]
You can’t put a camel through the eye of a needle
I’m not tacky like Helga Pataki but shouts to Joe Mackie
Shout out to yo mom
Shout out to Joe Hawn
I’m not a belchner-
I’m not a belcher
But shouts to Johnathan Chilchner
And I say
Shouts to Johnnie Ray
I gotta shout out my dude Josh Buck Walter
The buck stops with him, he won’t falter
He’s so ill
Also, shouts to Joshua ‘The Scrub’ Marsell
Hey, see, also shout out to JP
Yo, he’s better than a fuckin’ old Camaro
Shout to Juan DeMarro
You are tearing me a new one
Shout out to Just Jeremy, I’m drawing a blank
When I gotta shout out to Kal Kool Shrank
Katnap, shout out to you
Yes I did that
Shout to Kate W
I don’t mean to trouble you
Lately, shout out to Katie
And it’s her sister, Katie Stitzer
Making me feel so good
Shouts to Kaitlin Ekin
Yo, I’m say-o
Shout out to Katrina Matteo
I feel on the wheels of steel
My brother Max Miller Lauren
Shout outs to Katrina Zeals
Shout out to the creep dude Dawson
Shout out to my girl Katie Lawson
Shout out to all these names that remain
And that includes this person, Kalie Jane
You know I’m stealing this damn record
Shout out to Keelin
Shout out to Keyes
And Katelin DeWall Miller
You know that you are all iller
Than anyone I've ever met in my whole life
Shout out to Kayley Leveret
Also iller than anyone that I've ever met
You can't test me
Shout out to my girl Kelly Estee
On rap, I'm a lifer
I wanna say shout out to Kenny Pifer
I'm going in
Shout out to Kim
And the one Lauren
